"Id","Institution","Job title","AOS","AOC","Job type","Start time","Contract type","Deadline","How to apply","Date posted","PhilJobs page","Info link","Application link"
"15598","University of California, Berkeley","Dean of the Division of Arts & Humanities in the College of Letters and Science","Open","Open","Senior faculty","","Tenured, continuing or permanent","2020-08-31 (soft)","Online","2020-07-28","http://philjobs.org/job/show/15598","https://www.wittkieffer.com/position/21386-dean-of-the-division-of-arts-and-humanities-in-the-college-of-letters-and-science/","https://candidateportal.wittkieffer.com/login?returnUrl=%2Fdescription%3FjobID%3D21386"
"15606","Jain Family Institute","Fellowship in Ethics and Governance of AI","Ethics of Technology, Human Rights, Law,  Philosophy of Technology, Social and Political Philosophy","Open","Postdoc or similar","September 2020","Fixed term","2020-08-10 (soft)","Email","2020-07-30","http://philjobs.org/job/show/15606","https://www.jainfamilyinstitute.org/opportunities/fellowship-in-ethics-and-governance-of-ai/","https://www.jainfamilyinstitute.org/opportunities/fellowship-in-ethics-and-governance-of-ai/"
"15610","National Humanities Center","National Humanities Center Residential Fellow 2021-22","Open","Open","Visiting fellowship / Professorship","September 7. 2021","Fixed term","2020-10-08","Online","2020-07-30","http://philjobs.org/job/show/15610","https://nationalhumanitiescenter.org/","https://nationalhumanitiescenter.org/become-a-fellow/"
"15590","Tilburg University","Assistant Professor","Continental Philosophy","social philosophy and ethics ","Junior faculty","Negotiable, January 1st 2021 Preferred. ","Tenure-track or similar","2020-08-20","Online","2020-07-17","http://philjobs.org/job/show/15590","https://tiu.nu/16904","https://tiu.nu/16904"
"15602","Dartmouth College","Postdoctoral Fellowships at the Society of Fellows - Dartmouth College","Interdisciplinary","Interdisciplinary","Postdoc or similar","September 1, 2021","Fixed term","2020-09-14","Online","2020-07-29","http://philjobs.org/job/show/15602","http://www.dartmouth.edu/sof","http://apply.interfolio.com/77464"
"15586","Sentience Institute","Postdoctoral researcher in moral circle expansion","Applied Ethics, Ethics","Applied Ethics, Ethics","Postdoc or similar","Flexible, sometime around September 2020","Contract type open","2020-07-31","Online","2020-07-14","http://philjobs.org/job/show/15586","https://sentienceinstitute.org/","https://sentienceinstitute.org/researcher-opening"
"15582","National Yang-Ming University, Taiwan","Assistant, Associate or Full Professor","Analytic philosophy, preferably in one of the following two research areas:  1. Philosophy of artificial intelligence, specifically cross-disciplinary research that focuses on current work in artificial intelligence  2. Philosophy of mind, specifically cross-disciplinary research that integrates philosophy with current work in the cognitive and brain sciences","Open","Faculty (open rank)","August 1, 2021","Tenure-track or similar","2020-11-30","Email","2020-07-12","http://philjobs.org/job/show/15582","http://phil.ym.edu.tw/en/about/",""
"15574","King's College London","Peter Sowerby Chair in Philosophy and Medicine","Areas of philosophy with impact, application, and significance in relation to medicine","Open","Senior faculty","1st November 2020, or as soon as possible thereafter","Tenured, continuing or permanent","2020-08-17","Online","2020-07-10","http://philjobs.org/job/show/15574","https://my.corehr.com/pls/kingrecruit/erq_jobspec_version_4.display_form?p_company=1&p_internal_external=E&p_display_in_irish=N&p_process_type=&p_applicant_no=&p_form_profile_detail=&p_display_apply_ind=Y&p_refresh_search=Y&p_recruitment_id=031390","https://my.corehr.com/pls/kingrecruit/erq_jobspec_version_4.display_form?p_company=1&p_internal_external=E&p_display_in_irish=N&p_process_type=&p_applicant_no=&p_form_profile_detail=&p_display_apply_ind=Y&p_refresh_search=Y&p_recruitment_id=031390"
"15578","Indiana University, Bloomington","Post-Doctoral & Visiting Lecturer ","Philosophy of Science, with a preference for philosophy of climate science or philosophy of statistics or methodology","Specialty in Philosophy of Science","Postdoc or similar","August 15, 2020","Fixed term","2020-07-27 (soft)","Online","2020-07-10","http://philjobs.org/job/show/15578","","http://indiana.peopleadmin.com/postings/9780"
"15570","McMaster University","Assistant Director","Open","Open","Postdoc or similar","Fall 2020 Preferred","Fixed term","2020-08-12","Online","2020-07-09","http://philjobs.org/job/show/15570","https://careers.mcmaster.ca/psp/prepprd/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&SiteId=1001&FOCUS=Applicant&JobOpeningId=32461&PostingSeq=1","https://careers.mcmaster.ca/psp/prepprd/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&SiteId=1001&FOCUS=Applicant&JobOpeningId=32461&PostingSeq=1"
"15566","University of Toronto","Postdoctoral Fellowship - Philosophy of Natural Agency","Philosophy of Science, Philosophy of Biology, Philosophy of Cognitive Science","Applied Ethics, Philosophy of Mind","Postdoc or similar","September 1, 2020","Fixed term","2020-08-01","Email","2020-07-08","http://philjobs.org/job/show/15566","",""
"15542","University of Tampa","Visiting Assistant Professor of Philosophy","FEMINIST PHILOSOPHY","Open","Junior faculty","August 2020","Fixed term","2020-08-01","Online","2020-07-02","http://philjobs.org/job/show/15542","https://www.ut.edu/","https://utampa.wd1.myworkdayjobs.com/en-US/Faculty/job/Tampa/Visiting-Assistant-Professor-of-Philosophy_R0004478-1"
"15558","Hong Kong University of Science and Technology","Faculty Position in Philosophy","Open","Open","Faculty (open rank)","","Contract type open","2020-08-17 (soft)","Email","2020-07-08","http://philjobs.org/job/show/15558","",""
"15550","National Humanities Alliance","Project Director, Humanities for All","Open","Open","Administration (non-academic)","","Fixed term","---","Email","2020-07-07","http://philjobs.org/job/show/15550","https://www.idealist.org/en/nonprofit-job/258dc66198c54a79a48f80da2d1d8548-project-director-national-humanities-alliance-national-humanities-alliance-washington",""
"15554","National Humanities Alliance","Research Fellow, Community Initiatives","Open","Open","Postdoc or similar","","Fixed term","2020-07-20 (soft)","Email","2020-07-07","http://philjobs.org/job/show/15554","https://www.idealist.org/en/nonprofit-job/0305abc1efce4b5893691ded53047c4a-research-fellow-national-humanities-alliance-national-humanities-alliance-washington",""
"15546","University of Cologne","1-year Postdoc","Epistemology and/or Kant and German Idealism","Open","Postdoc or similar","Oct. 1, 2020","Fixed term","2020-08-01","Email","2020-07-03","http://philjobs.org/job/show/15546","http://concept.phil-fak.uni-koeln.de/",""
"15534","Stanford University McCoy Family Center for Ethics in Society & the Institute for Human-Centered AI","Postdoctoral Fellow","applied ethics; ethics; normative ethics; social and political philosophy; technology ethics","applied ethics; ethics; normative ethics; social and political philosophy; technology ethics","Postdoc or similar","Fall 2020 ","Fixed term","2020-07-24","Online","2020-06-29","http://philjobs.org/job/show/15534","https://ethicsinsociety.stanford.edu/postdoctoral/application-process","https://ethicsinsociety.stanford.edu/postdoctoral/application-process"
"15538","Gettysburg College","Adjunct Professor","Open","Open","Visiting fellowship / Professorship","August 17, 2020","Fixed term","2020-08-14","Email","2020-07-01","http://philjobs.org/job/show/15538","",""
"15526","UiT The Arctic University of Norway, Tromsø","PhD Fellow in Feminist Philosophy / Political Philosophy","Feminist Philosophy and Political Philosophy with special focus on migration/integration, democratic theory and/or structural injustice","Feminist Philosophy, Political Philosophy","Graduate fellowship","","Fixed term","2020-09-30","Online","2020-06-25","http://philjobs.org/job/show/15526","https://www.jobbnorge.no/en/available-jobs/job/186895/phd-fellow-in-feminist-philosophy-political-philosophy","https://www.jobbnorge.no/en/available-jobs/job/186895/phd-fellow-in-feminist-philosophy-political-philosophy"
"15518","Institute of Philosophy, Chinese Academy of Sciences (CASIP)","Assistant, Associate or Full Professor ","Philosophy of Science, Logic and Value Theory, all broadly conceived ","Open","Faculty (open rank)","flexible","Tenure-track or similar","2020-08-01 (soft)","Email","2020-06-24","http://philjobs.org/job/show/15518","",""
"15522","Institute of Philosophy, Chinese Academy of Sciences (CASIP)","Post-doctoral Fellowship","Philosophy of Science, Logic and Value Theory, all broadly conceived","Open","Postdoc or similar","September 2020 or March 2021 ","Fixed term","2020-08-01 (soft)","Email","2020-06-24","http://philjobs.org/job/show/15522","",""
"15514","One of: SFU, Western, Guelph, McGill, Duke, Penn, Columbia, Monash, Sydney, Lyon-3, Nanterre, and Jyväskylä","Extending New Narratives in the History of Philosophy Postdoc","History of Philosophy","Open","Postdoc or similar","1 September 2020, or as late as 1 December 2021","Fixed term","2020-07-15 (soft)","Email","2020-06-19","http://philjobs.org/job/show/15514","http://www.newnarrativesinphilosophy.net/extending-new-narratives.html","http://www.newnarrativesinphilosophy.net/post-doctoral-fellowships.html"
"15502","Arizona State University","Lecturer - Bioethics","Open","Open","Junior faculty","August, 2020 or January, 2021","Fixed term","2020-06-26 (soft)","Online","2020-06-12","http://philjobs.org/job/show/15502","","http://apply.interfolio.com/72013"
"15506","Massachusetts Institute of Technology","Postdoctoral Fellowship in the Digital Humanities","Open","Open","Postdoc or similar","September 1, 2020","Fixed term","2020-07-06","Online","2020-06-13","http://philjobs.org/job/show/15506","https://digitalhumanities.mit.edu/","https://academicjobsonline.org/ajo/fellowship/16438"
"15510","Jagiellonian University","Post-doctoral researcher (""adiunkt"")","Formal epistemology","Epistemology and logic","Postdoc or similar","October 2020","Fixed term","2020-07-17","Email","2020-06-15","http://philjobs.org/job/show/15510","","https://dso.uj.edu.pl/druki-do-pobrania/dokumenty-dla-kandydatow-pracownikow"
"15490","Underwood International College of Yonsei University","Assistant Professor of Philosophy in the UIC Common Curriculum","Asian Philosophy with a focus on East Asia","Open","Faculty (open rank)","March 1, 2021","Tenure-track or similar","2020-09-04","Other","2020-06-05","http://philjobs.org/job/show/15490","http://uic.yonsei.ac.kr/professorship/application.asp",""
"15486","Universiteit Utrecht ","Assistant Professor in Theoretical Philosophy and AI ","Theoretical Philosophy and AI","Open","Junior faculty","mid October 2020","Fixed term","2020-07-05","Online","2020-06-05","http://philjobs.org/job/show/15486","https://www.uu.nl/","https://ssl1.peoplexs.com/Peoplexs22/CandidatesPortalNoLogin/Vacancy.cfm?PeopleXSCtx=0,55527812,0,0,0,1103266,0,0,0,0,0,0,0,0,0,0,0&PortalID=4124&preview=1&VacatureID=1103266"
"15482","University of Toronto at Mississauga","Postdoctoral Researcher ","Language/Mind/Epistemology","Language/Mind/Epistemology","Postdoc or similar","September 1, 2020 ","Fixed term","2020-06-30 (soft)","Email","2020-06-04","http://philjobs.org/job/show/15482","https://philosophy.utoronto.ca/",""
"15478","McMaster University","Postdoctoral Research Fellowship In Data Ethics","Data Ethics","Open","Postdoc or similar","Fall 2020 Preferred","Fixed term","2020-07-02","Online","2020-06-04","http://philjobs.org/job/show/15478","https://careers.mcmaster.ca/psp/prepprd/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&SiteId=1001&FOCUS=Applicant&JobOpeningId=30967&PostingSeq=1","https://careers.mcmaster.ca/psp/prepprd/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&SiteId=1001&FOCUS=Applicant&JobOpeningId=30967&PostingSeq=1"
"15470","Technical University of Eindhoven","Post-doctoral Researcher","Applied ethics","Open","Postdoc or similar","September 2020","Fixed term","2020-06-22","Online","2020-06-01","http://philjobs.org/job/show/15470","https://jobs.tue.nl/en/vacancy/post-doc-project-behavior-change-technologies-for-moral-improvement-852467.html?fbclid=IwAR0M-JY_RSWcaOpSHVUNhWIQue6dpZ8-VpaSvADmthHGHd1qS91UeFxBmt8","https://jobs.tue.nl/en/vacancy/post-doc-project-behavior-change-technologies-for-moral-improvement-852467.html?fbclid=IwAR0M-JY_RSWcaOpSHVUNhWIQue6dpZ8-VpaSvADmthHGHd1qS91UeFxBmt8"
"15474","All Souls College, University of Oxford","Five-year Post-Doctoral Research Fellowship","Open","Open","Postdoc or similar","1 October 2021","Fixed term","2020-09-11","Online","2020-06-01","http://philjobs.org/job/show/15474","https://www.asc.ox.ac.uk/post-doctoral-research-fellowships-2020-further-particulars","https://www.asc.ox.ac.uk/post-doctoral-research-fellowships-2020-further-particulars"
"15454","Sun-Yat Sen University","FACULTY POSITIONS OF ALL RANK","The AOS is open on different areas of Philosophy","The AOC is open on different areas of Philosophy","Senior faculty","2020.05.28","Contract type open","2020-07-27","Email","2020-05-27","http://philjobs.org/job/show/15454","http://phil-zh.sysu.edu.cn/",""
"15462","University of Twente","Assistant Professor in philosophy (any area)  with a focus on technology and society ","Any area of philosophy, with a (future) focus on technology and society","Open","Junior faculty","Fall 2020 or Spring 2021 (flexible; we want the best candidate)","Tenure-track or similar","2020-06-24","Online","2020-05-29","http://philjobs.org/job/show/15462","https://www.utwente.nl/en/organisation/careers/!/1208300/assistant-professor-in-philosophy-any-area-with-a-focus-on-technology-and-society-full-time-for-fall-2020-or-spring-2021","https://www.utwente.nl/en/organisation/careers/!/1208300/assistant-professor-in-philosophy-any-area-with-a-focus-on-technology-and-society-full-time-for-fall-2020-or-spring-2021"
"15466","University of Twente","Assistant Professor in ethics and epistemology of AI (tenure track)","Ethics and Epistemology of AI","Open","Junior faculty","Fall 2020 or Spring 2021 (flexible; we want the best candidate)","Tenure-track or similar","2020-06-16","Online","2020-05-29","http://philjobs.org/job/show/15466","https://www.utwente.nl/en/organisation/careers/!/1202981/five-assistant-professors-in-social-science-and-humanities","https://www.utwente.nl/en/organisation/careers/!/1202981/five-assistant-professors-in-social-science-and-humanities"
"15458","Xiamen University","Assistant, Associate, or Full Professor","Open","Open","Faculty (open rank)","February 2021","Tenured, continuing or permanent","2020-07-31","Email","2020-05-29","http://philjobs.org/job/show/15458","https://ice.xmu.edu.cn/en/",""
"15426","Sun Yat-sen University","Sun Yat-sen University (Zhuhai)","Asian Thought; Continental Philosophy; Aesthetics","Open","Faculty (open rank)","Open","Tenure-track or similar","---","Email","2020-05-19","http://philjobs.org/job/show/15426","https://mp.weixin.qq.com/s/pLKxwe1pPbKbahAZoOnnfQ",""
"15446","University of Toronto","Postdoctoral Fellow in Ethics of Artificial Intelligence ","Ethics of artificial intelligence","Open","Postdoc or similar","September 1, 2020","Fixed term","2020-06-15","Email","2020-05-25","http://philjobs.org/job/show/15446","https://ethics.utoronto.ca","https://ethics.utoronto.ca/postdoctoral-fellowship-in-ethics-of-artificial-intelligence-centre-for-ethics-university-of-toronto/"
"15450","Australian National University","Lecturer","Politics, Philosophy, and Economics","Political Philosophy, Game Theory ","Postdoc or similar","January 2021","Fixed term","2020-06-29","Online","2020-05-27","http://philjobs.org/job/show/15450","https://jobs.anu.edu.au/cw/en/job/536177","https://jobs.anu.edu.au/cw/en/job/536177"
"15442","University of Edinburgh","Post-Doctoral Research Associate ","Open","Open","Postdoc or similar","September 2020","Fixed term","2020-06-17","Online","2020-05-21","http://philjobs.org/job/show/15442","http://www.intra.vacancies.ed.ac.uk/pls/corehrrecruit/erq_jobspec_details_form.jobspec?p_id=052135","http://www.intra.vacancies.ed.ac.uk/pls/corehrrecruit/erq_jobspec_details_form.jobspec?p_id=052135"
"15422","Notre Dame Institute for Advanced Study","Faculty Fellowship","Open, but eligibility requires research project related to resilience","Open","Visiting fellowship / Professorship","","Fixed term","2020-10-05","Online","2020-05-19","http://philjobs.org/job/show/15422","https://ndias.nd.edu/fellowships/faculty/","https://ndias.nd.edu/fellowships/faculty/"
"15410","University of Queensland","Lecturer / Senior Lecturer in Women's Writing","Women's Writing","Women's Writing","Junior faculty","","Tenure-track or similar","2020-06-14","Online","2020-05-15","http://philjobs.org/job/show/15410","http://search.jobs.uq.edu.au/caw/en/job/510295/lecturersenior-lecturer-in-womens-writing","http://search.jobs.uq.edu.au/caw/en/job/510295/lecturersenior-lecturer-in-womens-writing"
"15430","Utrecht University","Assistant Professor in Bioethics","Bioethics, broadly conceived","Bioethics, broadly conceived","Junior faculty","september 1, 2020","Tenure-track or similar","2020-06-10","Online","2020-05-20","http://philjobs.org/job/show/15430","https://www.uu.nl/en/organisation/working-at-utrecht-university/jobs/assistant-professor-in-bioethics-10-fte","https://www.uu.nl/en/organisation/working-at-utrecht-university/jobs/assistant-professor-in-bioethics-10-fte"
"15434","Utrecht University","Assistant Professor in Political/Economic Philosophy (1.0 FTE)","Political and/or economic philosophy, broadly conceived. An interdisciplinary approach is highly valued. ","Political and/or economic philosophy, broadly conceived. An interdisciplinary approach is highly valued. ","Junior faculty","september 1, 2020","Fixed term","2020-06-10","Online","2020-05-20","http://philjobs.org/job/show/15434","https://www.uu.nl/en/organisation/working-at-utrecht-university/jobs/assistant-professor-in-politicaleconomic-philosophy-10-fte","https://www.uu.nl/en/organisation/working-at-utrecht-university/jobs/assistant-professor-in-politicaleconomic-philosophy-10-fte"
"15438","University of Twente","Assistant Professor in bioethics with a focus on new medical technologies","Bioethics, ethics of technology","Open","Junior faculty","Between september 2020 and February 2021","Tenure-track or similar","2020-06-21","Online","2020-05-20","http://philjobs.org/job/show/15438","https://www.utwente.nl/en/organisation/careers/!/1203580/assistant-professor-in-bioethics-with-a-focus-on-new-medical-technologies-full-time-for-fall-2020-or-spring-2021","https://www.utwente.nl/en/organisation/careers/!/1203580/assistant-professor-in-bioethics-with-a-focus-on-new-medical-technologies-full-time-for-fall-2020-or-spring-2021"
"15414","University of Stirling","Postdoctoral Research Fellow in Philosophy","Open","Open","Postdoc or similar","September 2020","Fixed term","2020-06-18","Online","2020-05-19","http://philjobs.org/job/show/15414","http://www.stir.ac.uk","https://www.stir.ac.uk/about/work-at-stirling/list/details/?jobId=2337&jobTitle=Postdoctoral%20Research%20Fellow%20in%20Philosophy"
"15418","University of Alabama, Birmingham","Visiting Assistant Professor","Open","Open","Visiting fellowship / Professorship","August 15, 2020","Fixed term","2020-06-28 (soft)","Online","2020-05-19","http://philjobs.org/job/show/15418","http://www.uab.edu/philosophy","http://uab.peopleadmin.com/postings/6748"
"15406","Erasmus University of Rotterdam","PhD Position 'How Much Is Enough?'","A background in political/moral philosophy and/or economic ethics and/or decision/social choice theory","A background in political/moral philosophy and/or economic ethics and/or decision/social choice theory","Graduate fellowship","September 2020","Fixed term","2020-06-14","Email","2020-05-14","http://philjobs.org/job/show/15406","https://www.eur.nl/en/esphil/about-us/working",""
"15398","Bloomsburg University","Philosophy Temporary Pool","Contemporary Moral Problems","Medical Ethics or Business Ethics","Junior faculty","August 2020","Fixed term","2025-06-04","Other","2020-05-07","http://philjobs.org/job/show/15398","","http://agency.governmentjobs.com/bloomuedu/default.cfm"
"15402","University of Queensland","Lecturer / Senior Lecturer in European Enlightenment Studies","European Enlightenment","European Enlightenment ","Faculty (open rank)","","Tenured, continuing or permanent","2020-06-04","Online","2020-05-07","http://philjobs.org/job/show/15402","http://search.jobs.uq.edu.au/caw/en/job/510217/lecturersenior-lecturer-in-european-enlightenment-studies","http://search.jobs.uq.edu.au/caw/en/job/510217/lecturersenior-lecturer-in-european-enlightenment-studies"
